API Name,Memory,vCPUs,On Demand Hourly,Windows On Demand Hourly
a1.2xlarge,16,8,$0.20 ,unavailable
a1.4xlarge,32,16,$0.41 ,unavailable
a1.large,4,2,$0.05 ,unavailable
a1.medium,2,1,$0.03 ,unavailable
a1.metal,32,16,$0.41 ,unavailable
a1.xlarge,8,4,$0.10 ,unavailable
c1.medium,1.7,2,$0.13 ,$0.21 
c1.xlarge,7,8,$0.52 ,$0.84 
c3.2xlarge,15,8,$0.42 ,$0.75 
c3.4xlarge,30,16,$0.84 ,$1.50 
c3.8xlarge,60,32,$1.68 ,$3.01 
c3.large,3.75,2,$0.11 ,$0.19 
c3.xlarge,7.5,4,$0.21 ,$0.38 
c4.2xlarge,15,8,$0.40 ,$0.77 
c4.4xlarge,30,16,$0.80 ,$1.53 
c4.8xlarge,60,36,$1.59 ,$3.09 
c4.large,3.75,2,$0.10 ,$0.19 
c4.xlarge,7.5,4,$0.20 ,$0.38 
c5.12xlarge,96,48,$2.04 ,$4.25 
c5.18xlarge,144,72,$3.06 ,$6.37 
c5.24xlarge,192,96,$4.08 ,$8.50 
c5.2xlarge,16,8,$0.34 ,$0.71 
c5.4xlarge,32,16,$0.68 ,$1.42 
c5.9xlarge,72,36,$1.53 ,$3.19 
c5.large,4,2,$0.09 ,$0.18 
c5.metal,192,96,$4.08 ,$8.50 
c5.xlarge,8,4,$0.17 ,$0.35 
c5a.12xlarge,96,48,$1.85 ,$4.06 
c5a.16xlarge,128,64,$2.46 ,$5.41 
c5a.24xlarge,192,96,$3.70 ,$8.11 
c5a.2xlarge,16,8,$0.31 ,$0.68 
c5a.4xlarge,32,16,$0.62 ,$1.35 
c5a.8xlarge,64,32,$1.23 ,$2.70 
c5a.large,4,2,$0.08 ,$0.17 
c5a.xlarge,8,4,$0.15 ,$0.34 
c5ad.12xlarge,96,48,$2.06 ,$4.27 
c5ad.16xlarge,128,64,$2.75 ,$5.70 
c5ad.24xlarge,192,96,$4.13 ,$8.54 
c5ad.2xlarge,16,8,$0.34 ,$0.71 
c5ad.4xlarge,32,16,$0.69 ,$1.42 
c5ad.8xlarge,64,32,$1.38 ,$2.85 
c5ad.large,4,2,$0.09 ,$0.18 
c5ad.xlarge,8,4,$0.17 ,$0.36 
c5d.12xlarge,96,48,$2.30 ,$4.51 
c5d.18xlarge,144,72,$3.46 ,$6.77 
c5d.24xlarge,192,96,$4.61 ,$9.02 
c5d.2xlarge,16,8,$0.38 ,$0.75 
c5d.4xlarge,32,16,$0.77 ,$1.50 
c5d.9xlarge,72,36,$1.73 ,$3.38 
c5d.large,4,2,$0.10 ,$0.19 
c5d.metal,192,96,$4.61 ,$9.02 
c5d.xlarge,8,4,$0.19 ,$0.38 
c5n.18xlarge,192,72,$3.89 ,$7.20 
c5n.2xlarge,21,8,$0.43 ,$0.80 
c5n.4xlarge,42,16,$0.86 ,$1.60 
c5n.9xlarge,96,36,$1.94 ,$3.60 
c5n.large,5.25,2,$0.11 ,$0.20 
c5n.metal,192,72,$3.89 ,$7.20 
c5n.xlarge,10.5,4,$0.22 ,$0.40 
c6a.12xlarge,96,48,$1.84 ,$4.04 
c6a.16xlarge,128,64,$2.45 ,$5.39 
c6a.24xlarge,192,96,$3.67 ,$8.09 
c6a.2xlarge,16,8,$0.31 ,$0.67 
